0,128,1,192,224
1,128,0,192,224
2,129,3,192,224
3,2,129,192,224
4,130,5,193,224
5,130,4,193,224
6,131,7,193,130
7,131,6,193,130
8,132,9,194,225
9,132,8,194,225
10,133,11,194,225
11,133,10,194,225
12,134,13,195,135
13,134,12,195,135
14,135,15,195,225
15,135,14,195,225
16,136,17,196,226
17,136,16,196,226
18,137,19,196,226
19,137,18,196,226
20,138,21,197,226
21,138,20,197,226
22,139,23,197,226
23,139,22,197,226
24,140,25,198,227
25,140,24,198,141
26,141,27,198,227
27,141,26,198,227
28,142,29,199,227
29,28,142,199,227
30,143,31,199,227
31,143,30,199,142
32,144,33,200,228
33,144,32,200,228
34,145,35,200,228
35,145,34,200,144
36,146,37,201,228
37,146,36,201,228
38,147,39,201,228
39,147,38,201,228
40,148,41,202,229
41,148,40,202,229
42,149,43,202,229
43,149,42,202,229
44,150,45,203,229
45,150,44,203,229
46,151,47,203,229
47,151,46,203,229
48,152,49,204,153
49,152,48,204,230
50,153,51,204,230
51,153,50,204,230
52,154,53,205,230
53,154,52,205,230
54,155,55,205,230
55,155,54,205,230
56,156,57,206,231
57,156,56,206,157
58,157,59,206,231
59,157,58,206,231
60,158,61,207,231
61,158,60,207,231
62,159,63,207,231
63,159,62,207,158
64,65,160,208,232
65,160,64,208,232
66,161,67,208,232
67,161,66,208,232
68,162,69,209,232
69,162,68,209,232
70,163,71,209,162
71,163,70,209,162
72,164,73,210,233
73,164,72,210,233
74,165,75,210,233
75,165,74,210,233
76,166,77,211,233
77,166,76,211,233
78,167,79,211,166
79,167,78,211,166
80,81,168,212,234
81,168,80,212,234
82,169,83,212,168
83,169,82,212,234
84,170,85,213,234
85,170,84,213,234
86,171,87,213,234
87,171,86,213,170
88,89,172,214,235
89,172,88,214,235
90,173,91,214,235
91,173,214,90,235
92,174,93,215,235
93,174,92,215,175
94,175,95,215,235
95,175,94,215,235
96,176,97,216,236
97,176,96,216,236
98,177,99,216,236
99,177,98,216,236
100,178,101,217,236
101,178,100,217,236
102,179,103,217,236
103,179,102,217,178
104,180,105,218,237
105,104,180,218,237
106,181,107,218,237
107,181,106,218,237
108,182,109,219,237
109,182,108,219,237
110,183,111,219,237
111,183,110,219,237
112,184,113,220,238
113,184,112,220,238
114,185,115,220,184
115,185,114,220,238
116,186,117,221,238
117,186,116,221,238
118,187,119,221,238
119,187,118,221,238
120,188,121,222,239
121,188,120,222,239
122,189,123,222,89
123,189,122,222,239
124,190,125,223,191
125,190,124,223,191
126,191,127,223,239
127,191,126,223,239
128,0,1,192,129
129,2,192,3,224
130,5,4,193,224
131,193,6,7,130
132,9,194,8,225
133,11,194,10,132
134,195,12,13,135
135,195,15,14,225
136,196,16,17,226
137,19,196,18,226
138,20,21,197,226
139,23,197,22,226
140,25,198,24,227
141,198,26,27,227
142,28,199,29,227
143,199,31,30,227
144,33,200,32,228
145,200,34,35,228
146,37,36,201,228
147,201,39,38,228
148,40,202,41,229
149,202,42,43,229
150,44,45,203,229
151,203,47,46,229
152,204,48,153,49
153,50,204,51,230
154,53,205,52,230
155,205,54,55,230
156,206,56,57,231
157,206,58,59,231
158,207,60,61,231
159,63,207,62,158
160,65,208,64,232
161,67,208,66,232
162,209,69,68,232
163,209,70,71,232
164,73,210,72,233
165,210,75,74,233
166,211,76,77,233
167,211,78,79,166
168,81,212,80,234
169,212,83,82,234
170,213,84,85,234
171,213,86,87,234
172,89,214,88,235
173,91,214,90,235
174,215,92,93,235
175,215,95,94,235
176,216,96,97,236
177,216,98,99,236
178,100,101,217,236
179,103,217,102,236
180,104,218,105,237
181,107,106,218,237
182,108,219,109,237
183,110,219,111,182
184,113,220,112,238
185,114,220,115,238
186,116,221,117,238
187,118,119,221,238
188,121,222,120,239
189,222,123,122,188
190,223,125,124,239
191,223,127,126,239
192,129,2,224,128
193,130,224,5,4
194,132,9,133,225
195,135,225,134,240
196,136,226,137,19
197,139,138,226,23
198,227,140,141,241
199,142,227,143,28
200,228,144,145,33
201,146,228,37,36
202,148,149,229,40
203,151,229,150,44
204,153,230,152,50
205,230,155,154,243
206,157,231,156,58
207,158,231,159,63
208,160,232,161,65
209,162,232,163,69
210,233,164,165,73
211,166,233,167,244
212,168,234,169,81
213,170,234,171,84
214,173,89,235,172
215,175,174,235,95
216,236,177,176,98
217,178,236,100,179
218,180,237,107,181
219,182,237,183,108
220,184,238,185,113
221,187,238,186,118
222,188,239,189,121
223,191,239,190,247
224,193,192,240,130
225,195,194,240,135
226,196,197,241,138
227,198,199,241,28
228,201,200,242,146
229,202,203,242,148
230,205,204,243,153
231,207,206,243,158
232,208,209,244,160
233,210,211,244,166
234,213,212,245,168
235,215,214,245,89
236,216,217,178,246
237,218,219,246,180
238,220,221,184,247
239,223,222,247,191
240,224,225,192,193
241,227,226,196,198
242,229,228,200,201
243,231,230,207,205
244,233,232,210,208
245,235,234,215,214
246,236,237,251,219
247,239,238,220,221
248,240,241,225,224
249,243,242,231,230
250,245,244,235,234
251,246,247,236,237
252,243,249,242,248
253,251,250,247,246
254,253,251,252,245
